[18:45:13.136], STTP, 2, <--, CLIENT, 35, list, 4960d8b1, ROUTE, , , 1
[18:45:13.137], STTP, 2, -->, CLIENT, 35, list, 0f671708, ROUTE, , , 1
[18:45:13.138], STTP, 2, , , , , , send_share, CPU: 1.182265 ms, wall: 1.195832 ms, 1
[18:45:13.161], STTP, 2, <--, CLIENT, 80, list, 5fab0d80, ROUTE, , , 1
[18:45:13.162], STTP, 2, -->, CLIENT, 80, list, 5650ba09, ROUTE, , , 1
[18:45:13.165], STTP, 2, , , , , , send_share, CPU: 1.166449 ms, wall: 3.361967 ms, 1
[18:45:13.188], STTP, 2, <--, CLIENT, 96, list, a6d2ae2b, ROUTE, , , 1
[18:45:13.189], STTP, 2, -->, CLIENT, 96, list, 5dce0f87, ROUTE, , , 1
[18:45:13.192], STTP, 2, , , , , , send_share, CPU: 1.164846 ms, wall: 3.511675 ms, 1
[18:45:13.202], STTP, 2, <--, CLIENT, 90, list, 4fd2e030, ROUTE, , , 1
[18:45:13.203], STTP, 2, -->, CLIENT, 90, list, 4f3d8cec, ROUTE, , , 1
[18:45:13.204], STTP, 2, , , , , , send_share, CPU: 1.095600 ms, wall: 1.107032 ms, 1
[18:45:13.204], STTP, 2, <--, CLIENT, 77, list, 60bdcdf9, ROUTE, , , 1
[18:45:13.211], STTP, 2, -->, CLIENT, 77, list, eae46293, ROUTE, , , 1
[18:45:13.211], STTP, 2, , , , , , send_share, CPU: 1.125160 ms, wall: 1.137966 ms, 1
[18:45:13.211], STTP, 2, <--, CLIENT, 60, list, 28d6d42b, ROUTE, , , 1
[18:45:13.212], STTP, 2, -->, CLIENT, 60, list, e23623d2, ROUTE, , , 1
[18:45:13.212], STTP, 2, , , , , , send_share, CPU: 0.904692 ms, wall: 0.916020 ms, 1
[18:45:13.221], STTP, 2, <--, CLIENT, 78, list, c11aa333, ROUTE, , , 1
[18:45:13.222], STTP, 2, -->, CLIENT, 78, list, 96b28b3d, ROUTE, , , 1
[18:45:13.223], STTP, 2, , , , , , send_share, CPU: 1.240042 ms, wall: 1.348204 ms, 1
[18:45:13.228], STTP, 2, <--, CLIENT, 66, list, 9e67068e, ROUTE, , , 1
[18:45:13.229], STTP, 2, -->, CLIENT, 66, list, 899feb35, ROUTE, , , 1
[18:45:13.232], STTP, 2, , , , , , send_share, CPU: 1.162556 ms, wall: 3.553111 ms, 1
