[18:45:13.139], STTP, 17, -->, CLIENT, 61, list, d72b1da9, ROUTE, , , 1
[18:45:13.139], STTP, 17, , , , , , send_share, CPU: 2.306082 ms, wall: 4.207705 ms, 1
[18:45:13.164], STTP, 17, <--, CLIENT, 95, list, e23750ef, ROUTE, , , 1
[18:45:13.166], STTP, 17, -->, CLIENT, 95, list, 23238c2e, ROUTE, , , 1
[18:45:13.167], STTP, 17, , , , , , send_share, CPU: 2.237976 ms, wall: 2.486076 ms, 1
[18:45:13.197], STTP, 17, <--, CLIENT, 73, list, 27da77ec, ROUTE, , , 1
[18:45:13.204], STTP, 17, -->, CLIENT, 73, list, 9dfe8715, ROUTE, , , 1
[18:45:13.215], STTP, 17, , , , , , send_share, CPU: 2.588145 ms, wall: 17.063775 ms, 1
[18:45:13.215], STTP, 17, <--, CLIENT, 100, list, 25f518db, ROUTE, , , 1
[18:45:13.220], STTP, 17, -->, CLIENT, 100, list, e5873d15, ROUTE, , , 1
[18:45:13.221], STTP, 17, , , , , , send_share, CPU: 2.378926 ms, wall: 5.533565 ms, 1
[18:45:13.221], STTP, 17, <--, CLIENT, 78, list, c11aa333, ROUTE, , , 1
[18:45:13.226], STTP, 17, -->, CLIENT, 78, list, d4ca60e1, ROUTE, , , 1
[18:45:13.227], STTP, 17, , , , , , send_share, CPU: 2.406923 ms, wall: 5.019148 ms, 1
[18:45:13.240], STTP, 17, <--, CLIENT, 76, list, cca4738c, ROUTE, , , 1
[18:45:13.241], STTP, 17, -->, CLIENT, 76, list, 3863d37c, ROUTE, , , 1
[18:45:13.242], STTP, 17, , , , , , send_share, CPU: 1.154563 ms, wall: 1.283931 ms, 1
