[18:45:13.146], STTP, 19, , , , , , send_share, CPU: 2.181554 ms, wall: 2.237994 ms, 1
[18:45:13.160], STTP, 19, <--, CLIENT, 80, list, 5fab0d80, ROUTE, , , 1
[18:45:13.161], STTP, 19, -->, CLIENT, 80, list, 1f9bffd0, ROUTE, , , 1
[18:45:13.165], STTP, 19, , , , , , send_share, CPU: 1.201031 ms, wall: 5.050537 ms, 1
[18:45:13.193], STTP, 19, <--, CLIENT, 88, list, 855d3120, ROUTE, , , 1
[18:45:13.194], STTP, 19, -->, CLIENT, 88, list, eedea803, ROUTE, , , 1
[18:45:13.197], STTP, 19, , , , , , send_share, CPU: 1.287217 ms, wall: 4.311631 ms, 1
[18:45:13.197], STTP, 19, <--, CLIENT, 73, list, 27da77ec, ROUTE, , , 1
[18:45:13.198], STTP, 19, -->, CLIENT, 73, list, 4bccec60, ROUTE, , , 1
[18:45:13.205], STTP, 19, , , , , , send_share, CPU: 1.214867 ms, wall: 7.732747 ms, 1
[18:45:13.206], STTP, 19, <--, CLIENT, 79, list, 36e7ad91, ROUTE, , , 1
[18:45:13.219], STTP, 19, -->, CLIENT, 79, list, a9834c4c, ROUTE, , , 1
[18:45:13.219], STTP, 19, , , , , , send_share, CPU: 1.278327 ms, wall: 1.301255 ms, 1
[18:45:13.219], STTP, 19, <--, CLIENT, 100, list, 25f518db, ROUTE, , , 1
[18:45:13.223], STTP, 19, -->, CLIENT, 100, list, 24a8ac57, ROUTE, , , 1
[18:45:13.223], STTP, 19, , , , , , send_share, CPU: 1.201059 ms, wall: 1.208747 ms, 1
[18:45:13.250], STTP, 19, <--, CLIENT, 89, list, ccbbe7b1, ROUTE, , , 1
[18:45:13.251], STTP, 19, -->, CLIENT, 89, list, d160350e, ROUTE, , , 1
[18:45:13.252], STTP, 19, , , , , , send_share, CPU: 1.136767 ms, wall: 1.149301 ms, 1
