[18:45:13.146], STTP, 16, , , , , , send_share, CPU: 2.340172 ms, wall: 7.371664 ms, 1
[18:45:13.146], STTP, 16, <--, CLIENT, 28, list, 37ab3eb5, ROUTE, , , 1
[18:45:13.152], STTP, 16, -->, CLIENT, 28, list, bbe45e31, ROUTE, , , 1
[18:45:13.159], STTP, 16, , , , , , send_share, CPU: 2.260904 ms, wall: 8.252013 ms, 1
[18:45:13.159], STTP, 16, <--, CLIENT, 82, list, ec8a9c0b, ROUTE, , , 1
[18:45:13.165], STTP, 16, -->, CLIENT, 82, list, f198f9c8, ROUTE, , , 1
[18:45:13.166], STTP, 16, , , , , , send_share, CPU: 2.271816 ms, wall: 6.303114 ms, 1
[18:45:13.166], STTP, 16, <--, CLIENT, 23, list, 292af744, ROUTE, , , 1
[18:45:13.174], STTP, 16, -->, CLIENT, 23, list, d6f9dc49, ROUTE, , , 1
[18:45:13.179], STTP, 16, , , , , , send_share, CPU: 2.203470 ms, wall: 6.237515 ms, 1
[18:45:13.185], STTP, 16, <--, CLIENT, 5, list, 8a799af7, ROUTE, , , 1
[18:45:13.186], STTP, 16, -->, CLIENT, 5, list, 0d10a12e, ROUTE, , , 1
[18:45:13.187], STTP, 16, , , , , , send_share, CPU: 1.179416 ms, wall: 1.208335 ms, 1
[18:45:13.196], STTP, 16, <--, CLIENT, 73, list, 27da77ec, ROUTE, , , 1
[18:45:13.197], STTP, 16, -->, CLIENT, 73, list, d155a294, ROUTE, , , 1
[18:45:13.198], STTP, 16, , , , , , send_share, CPU: 1.202980 ms, wall: 1.234998 ms, 1
[18:45:13.205], STTP, 16, <--, CLIENT, 77, list, 60bdcdf9, ROUTE, , , 1
[18:45:13.219], STTP, 16, -->, CLIENT, 77, list, 7540b383, ROUTE, , , 1
[18:45:13.219], STTP, 16, , , , , , send_share, CPU: 1.234455 ms, wall: 1.254190 ms, 1
[18:45:13.219], STTP, 16, <--, CLIENT, 60, list, 28d6d42b, ROUTE, , , 1
[18:45:13.223], STTP, 16, -->, CLIENT, 60, list, 704961bb, ROUTE, , , 1
[18:45:13.224], STTP, 16, , , , , , send_share, CPU: 1.298452 ms, wall: 1.889656 ms, 1
[18:45:13.224], STTP, 16, <--, CLIENT, 92, list, c5c03b80, ROUTE, , , 1
[18:45:13.228], STTP, 16, -->, CLIENT, 92, list, 39277b1d, ROUTE, , , 1
[18:45:13.229], STTP, 16, , , , , , send_share, CPU: 1.211801 ms, wall: 1.212668 ms, 1
[18:45:13.240], STTP, 16, <--, CLIENT, 76, list, cca4738c, ROUTE, , , 1
[18:45:13.241], STTP, 16, -->, CLIENT, 76, list, 756786eb, ROUTE, , , 1
[18:45:13.241], STTP, 16, , , , , , send_share, CPU: 1.138640 ms, wall: 1.157349 ms, 1
