[18:45:13.019], STTP, 8, <--, CLIENT, 41, list, 8a681f18, ROUTE, , , 1
[18:45:13.020], STTP, 8, -->, CLIENT, 41, list, 64151365, ROUTE, , , 1
[18:45:13.020], STTP, 8, , , , , , send_share, CPU: 0.790551 ms, wall: 0.805695 ms, 1
[18:45:13.045], STTP, 8, <--, CLIENT, 8, list, b25478c4, ROUTE, , , 1
[18:45:13.045], STTP, 8, -->, CLIENT, 8, list, c9f97c01, ROUTE, , , 1
[18:45:13.046], STTP, 8, , , , , , send_share, CPU: 0.793238 ms, wall: 0.808598 ms, 1
[18:45:13.072], STTP, 8, <--, CLIENT, 99, list, 007160a0, ROUTE, , , 1
[18:45:13.073], STTP, 8, -->, CLIENT, 99, list, d1e07f4a, ROUTE, , , 1
[18:45:13.073], STTP, 8, , , , , , send_share, CPU: 1.213504 ms, wall: 1.238931 ms, 1
[18:45:13.085], STTP, 8, <--, CLIENT, 32, list, 3d3f26f1, ROUTE, , , 1
[18:45:13.086], STTP, 8, -->, CLIENT, 32, list, 78c5a1f5, ROUTE, , , 1
[18:45:13.087], STTP, 8, , , , , , send_share, CPU: 1.344992 ms, wall: 1.408948 ms, 1
[18:45:13.097], STTP, 8, <--, CLIENT, 19, list, f4dbf934, ROUTE, , , 1
[18:45:13.098], STTP, 8, -->, CLIENT, 19, list, c19e284e, ROUTE, , , 1
[18:45:13.098], STTP, 8, , , , , , send_share, CPU: 1.119771 ms, wall: 1.135267 ms, 1
[18:45:13.106], STTP, 8, <--, CLIENT, 50, list, 590a3833, ROUTE, , , 1
[18:45:13.108], STTP, 8, -->, CLIENT, 50, list, e38c7aa5, ROUTE, , , 1
[18:45:13.109], STTP, 8, , , , , , send_share, CPU: 2.169277 ms, wall: 2.200470 ms, 1
[18:45:13.116], STTP, 8, <--, CLIENT, 97, list, 078a9a97, ROUTE, , , 1
[18:45:13.118], STTP, 8, -->, CLIENT, 97, list, cffc3bd6, ROUTE, , , 1
[18:45:13.118], STTP, 8, , , , , , send_share, CPU: 1.967384 ms, wall: 2.008120 ms, 1
[18:45:13.124], STTP, 8, <--, CLIENT, 72, list, 96c88920, ROUTE, , , 1
[18:45:13.125], STTP, 8, -->, CLIENT, 72, list, 9e848e9f, ROUTE, , , 1
[18:45:13.130], STTP, 8, , , , , , send_share, CPU: 1.274093 ms, wall: 5.957434 ms, 1
[18:45:13.134], STTP, 8, <--, CLIENT, 35, list, 4960d8b1, ROUTE, , , 1
[18:45:13.135], STTP, 8, -->, CLIENT, 35, list, 04b3fa60, ROUTE, , , 1
[18:45:13.135], STTP, 8, , , , , , send_share, CPU: 1.202910 ms, wall: 1.226821 ms, 1
[18:45:13.144], STTP, 8, <--, CLIENT, 94, list, e6dd0523, ROUTE, , , 1
[18:45:13.145], STTP, 8, -->, CLIENT, 94, list, 9a240f42, ROUTE, , , 1
[18:45:13.147], STTP, 8, , , , , , send_share, CPU: 1.142653 ms, wall: 2.355795 ms, 1
[18:45:13.184], STTP, 8, <--, CLIENT, 5, list, 8a799af7, ROUTE, , , 1
[18:45:13.185], STTP, 8, -->, CLIENT, 5, list, 3a86dab4, ROUTE, , , 1
[18:45:13.188], STTP, 8, , , , , , send_share, CPU: 1.170867 ms, wall: 3.494883 ms, 1
[18:45:13.195], STTP, 8, <--, CLIENT, 52, list, 036f4951, ROUTE, , , 1
[18:45:13.196], STTP, 8, -->, CLIENT, 52, list, f656149b, ROUTE, , , 1
[18:45:13.199], STTP, 8, , , , , , send_share, CPU: 1.209121 ms, wall: 3.697780 ms, 1
[18:45:13.201], STTP, 8, <--, CLIENT, 58, list, e1f328f4, ROUTE, , , 1
[18:45:13.202], STTP, 8, -->, CLIENT, 58, list, 695ce080, ROUTE, , , 1
[18:45:13.204], STTP, 8, , , , , , send_share, CPU: 0.729603 ms, wall: 2.932950 ms, 1
[18:45:13.204], STTP, 8, <--, CLIENT, 60, list, 28d6d42b, ROUTE, , , 1
[18:45:13.211], STTP, 8, -->, CLIENT, 60, list, fb9a57e5, ROUTE, , , 1
[18:45:13.211], STTP, 8, , , , , , send_share, CPU: 1.313358 ms, wall: 1.381123 ms, 1
