[18:45:13.010], STTP, 15, -->, CLIENT, 24, list, a30015e1, ROUTE, , , 1
[18:45:13.010], STTP, 15, , , , , , send_share, CPU: 0.765783 ms, wall: 0.783177 ms, 1
[18:45:13.070], STTP, 15, <--, CLIENT, 71, list, 330b28f3, ROUTE, , , 1
[18:45:13.071], STTP, 15, -->, CLIENT, 71, list, 7d633539, ROUTE, , , 1
[18:45:13.071], STTP, 15, , , , , , send_share, CPU: 0.894468 ms, wall: 0.912186 ms, 1
[18:45:13.081], STTP, 15, <--, CLIENT, 30, list, eb278337, ROUTE, , , 1
[18:45:13.082], STTP, 15, -->, CLIENT, 30, list, 1d368dec, ROUTE, , , 1
[18:45:13.082], STTP, 15, , , , , , send_share, CPU: 1.223188 ms, wall: 1.283531 ms, 1
[18:45:13.089], STTP, 15, <--, CLIENT, 47, list, ac158d34, ROUTE, , , 1
[18:45:13.091], STTP, 15, -->, CLIENT, 47, list, cbb4efee, ROUTE, , , 1
[18:45:13.092], STTP, 15, , , , , , send_share, CPU: 2.114417 ms, wall: 2.144808 ms, 1
[18:45:13.107], STTP, 15, <--, CLIENT, 50, list, 590a3833, ROUTE, , , 1
[18:45:13.108], STTP, 15, -->, CLIENT, 50, list, a7bd1000, ROUTE, , , 1
[18:45:13.108], STTP, 15, , , , , , send_share, CPU: 0.900463 ms, wall: 0.944604 ms, 1
[18:45:13.116], STTP, 15, <--, CLIENT, 46, list, 10a8ff63, ROUTE, , , 1
[18:45:13.117], STTP, 15, -->, CLIENT, 46, list, 015ac5f7, ROUTE, , , 1
[18:45:13.122], STTP, 15, , , , , , send_share, CPU: 1.711187 ms, wall: 6.088737 ms, 1
[18:45:13.123], STTP, 15, <--, CLIENT, 82, list, ec8a9c0b, ROUTE, , , 1
[18:45:13.123], STTP, 15, -->, CLIENT, 82, list, bfa03795, ROUTE, , , 1
[18:45:13.124], STTP, 15, , , , , , send_share, CPU: 1.121114 ms, wall: 1.137725 ms, 1
[18:45:13.124], STTP, 15, <--, CLIENT, 16, list, 7295c272, ROUTE, , , 1
[18:45:13.125], STTP, 15, -->, CLIENT, 16, list, 857cc3d7, ROUTE, , , 1
[18:45:13.126], STTP, 15, , , , , , send_share, CPU: 1.197004 ms, wall: 1.257091 ms, 1
[18:45:13.127], STTP, 15, <--, CLIENT, 74, list, c7f5ff6b, ROUTE, , , 1
[18:45:13.129], STTP, 15, -->, CLIENT, 74, list, 59d3c888, ROUTE, , , 1
[18:45:13.132], STTP, 15, , , , , , send_share, CPU: 2.373692 ms, wall: 4.399999 ms, 1
[18:45:13.135], STTP, 15, <--, CLIENT, 62, list, 933930e9, ROUTE, , , 1
[18:45:13.137], STTP, 15, -->, CLIENT, 62, list, 0e0b84aa, ROUTE, , , 1
[18:45:13.138], STTP, 15, , , , , , send_share, CPU: 2.232430 ms, wall: 2.632163 ms, 1
[18:45:13.170], STTP, 15, <--, CLIENT, 84, list, f786c72d, ROUTE, , , 1
[18:45:13.174], STTP, 15, -->, CLIENT, 84, list, f35669e0, ROUTE, , , 1
[18:45:13.174], STTP, 15, , , , , , send_share, CPU: 1.244427 ms, wall: 1.262814 ms, 1
[18:45:13.186], STTP, 15, <--, CLIENT, 49, list, 6b84568b, ROUTE, , , 1
[18:45:13.186], STTP, 15, -->, CLIENT, 49, list, aa4b1d2a, ROUTE, , , 1
[18:45:13.187], STTP, 15, , , , , , send_share, CPU: 1.114078 ms, wall: 1.128592 ms, 1
[18:45:13.205], STTP, 15, <--, CLIENT, 77, list, 60bdcdf9, ROUTE, , , 1
[18:45:13.216], STTP, 15, -->, CLIENT, 77, list, f4ef913e, ROUTE, , , 1
[18:45:13.217], STTP, 15, , , , , , send_share, CPU: 1.238596 ms, wall: 1.252823 ms, 1
[18:45:13.217], STTP, 15, <--, CLIENT, 92, list, c5c03b80, ROUTE, , , 1
[18:45:13.221], STTP, 15, -->, CLIENT, 92, list, 1bfef807, ROUTE, , , 1
[18:45:13.221], STTP, 15, , , , , , send_share, CPU: 1.173258 ms, wall: 1.191034 ms, 1
[18:45:13.222], STTP, 15, <--, CLIENT, 31, list, 71591690, ROUTE, , , 1
[18:45:13.228], STTP, 15, -->, CLIENT, 31, list, c96fd3e3, ROUTE, , , 1
[18:45:13.230], STTP, 15, , , , , , send_share, CPU: 2.097118 ms, wall: 3.001581 ms, 1
