[18:45:13.071], STTP, 1, -->, CLIENT, 38, list, cfcd257c, ROUTE, , , 1
[18:45:13.072], STTP, 1, , , , , , send_share, CPU: 1.009083 ms, wall: 1.024178 ms, 1
[18:45:13.081], STTP, 1, <--, CLIENT, 30, list, eb278337, ROUTE, , , 1
[18:45:13.082], STTP, 1, -->, CLIENT, 30, list, 0afd41f0, ROUTE, , , 1
[18:45:13.082], STTP, 1, , , , , , send_share, CPU: 1.046479 ms, wall: 1.057822 ms, 1
[18:45:13.083], STTP, 1, <--, CLIENT, 22, list, c5ef24fb, ROUTE, , , 1
[18:45:13.084], STTP, 1, -->, CLIENT, 22, list, 295b6d61, ROUTE, , , 1
[18:45:13.085], STTP, 1, , , , , , send_share, CPU: 1.807556 ms, wall: 1.818299 ms, 1
[18:45:13.085], STTP, 1, <--, CLIENT, 32, list, 3d3f26f1, ROUTE, , , 1
[18:45:13.086], STTP, 1, -->, CLIENT, 32, list, 00f56ee1, ROUTE, , , 1
[18:45:13.086], STTP, 1, , , , , , send_share, CPU: 1.146637 ms, wall: 1.159074 ms, 1
[18:45:13.102], STTP, 1, <--, CLIENT, 83, list, 5bf5ded1, ROUTE, , , 1
[18:45:13.103], STTP, 1, -->, CLIENT, 83, list, 753d2933, ROUTE, , , 1
[18:45:13.104], STTP, 1, , , , , , send_share, CPU: 1.118503 ms, wall: 1.133034 ms, 1
[18:45:13.108], STTP, 1, <--, CLIENT, 9, list, 8a9f1c15, ROUTE, , , 1
[18:45:13.109], STTP, 1, -->, CLIENT, 9, list, 36d33d47, ROUTE, , , 1
[18:45:13.110], STTP, 1, , , , , , send_share, CPU: 1.124104 ms, wall: 1.137989 ms, 1
[18:45:13.112], STTP, 1, <--, CLIENT, 65, list, ab70e6bb, ROUTE, , , 1
[18:45:13.114], STTP, 1, -->, CLIENT, 65, list, 0a10fe0e, ROUTE, , , 1
[18:45:13.115], STTP, 1, , , , , , send_share, CPU: 2.162432 ms, wall: 2.209917 ms, 1
[18:45:13.118], STTP, 1, <--, CLIENT, 82, list, ec8a9c0b, ROUTE, , , 1
[18:45:13.119], STTP, 1, -->, CLIENT, 82, list, c4777ab6, ROUTE, , , 1
[18:45:13.120], STTP, 1, , , , , , send_share, CPU: 1.112653 ms, wall: 1.127605 ms, 1
[18:45:13.161], STTP, 1, <--, CLIENT, 86, list, 9cbd4e94, ROUTE, , , 1
[18:45:13.162], STTP, 1, -->, CLIENT, 86, list, 5e719671, ROUTE, , , 1
[18:45:13.165], STTP, 1, , , , , , send_share, CPU: 1.216197 ms, wall: 4.429188 ms, 1
[18:45:13.169], STTP, 1, <--, CLIENT, 84, list, f786c72d, ROUTE, , , 1
[18:45:13.170], STTP, 1, -->, CLIENT, 84, list, f32fe965, ROUTE, , , 1
[18:45:13.170], STTP, 1, , , , , , send_share, CPU: 1.133762 ms, wall: 1.149492 ms, 1
[18:45:13.179], STTP, 1, <--, CLIENT, 57, list, f08513bf, ROUTE, , , 1
[18:45:13.180], STTP, 1, -->, CLIENT, 57, list, 7bc51303, ROUTE, , , 1
[18:45:13.182], STTP, 1, , , , , , send_share, CPU: 1.143268 ms, wall: 2.935093 ms, 1
[18:45:13.185], STTP, 1, <--, CLIENT, 49, list, 6b84568b, ROUTE, , , 1
[18:45:13.186], STTP, 1, -->, CLIENT, 49, list, 69603ce2, ROUTE, , , 1
