[18:45:13.188], STTP, 14, , , , , , send_share, CPU: 2.231682 ms, wall: 4.256778 ms, 1
[18:45:13.188], STTP, 14, <--, CLIENT, 49, list, 6b84568b, ROUTE, , , 1
[18:45:13.192], STTP, 14, -->, CLIENT, 49, list, 29032e56, ROUTE, , , 1
[18:45:13.194], STTP, 14, , , , , , send_share, CPU: 2.150505 ms, wall: 5.073639 ms, 1
[18:45:13.194], STTP, 14, <--, CLIENT, 88, list, 855d3120, ROUTE, , , 1
[18:45:13.196], STTP, 14, -->, CLIENT, 88, list, 7f030aa3, ROUTE, , , 1
[18:45:13.197], STTP, 14, , , , , , send_share, CPU: 2.173528 ms, wall: 2.199530 ms, 1
[18:45:13.197], STTP, 14, <--, CLIENT, 79, list, 36e7ad91, ROUTE, , , 1
[18:45:13.199], STTP, 14, -->, CLIENT, 79, list, a1950f9f, ROUTE, , , 1
[18:45:13.199], STTP, 14, , , , , , send_share, CPU: 2.203033 ms, wall: 2.230902 ms, 1
[18:45:13.214], STTP, 14, <--, CLIENT, 98, list, 48d2378c, ROUTE, , , 1
[18:45:13.218], STTP, 14, -->, CLIENT, 98, list, 6178d5b1, ROUTE, , , 1
[18:45:13.219], STTP, 14, , , , , , send_share, CPU: 2.431767 ms, wall: 4.215668 ms, 1
[18:45:13.252], STTP, 14, <--, CLIENT, 89, list, ccbbe7b1, ROUTE, , , 1
[18:45:13.253], STTP, 14, -->, CLIENT, 89, list, bfc8e437, ROUTE, , , 1
[18:45:13.253], STTP, 14, , , , , , send_share, CPU: 1.116729 ms, wall: 1.127755 ms, 1
